Num;Localidad;Poblacion
1;01 - Usaquén;501999
2;02 - Chapinero;139701
3;03 - Santa Fe;110048
4;04 - San Cristóbal;404697
5;05 - Usme;457302
6;06 - Tunjuelito;199430
7;07 - Bosa;673077
8;08 - Kennedy;1088443
9;09 - Fontibón;394648
10;10 - Engativá;887080
11;11 - Suba;1218513
12;12 - Barrios Unidos;243465
13;13 - Teusaquillo;153025
14;14 - Los Mártires;99119
15;15 - Antonio Nariño;109176
16;16 - Puente Aranda;258287
17;17 - La Candelaria;24088
18;18 - Rafael Uribe Uribe;374246
19;19 - Ciudad Bolívar;733859
20;20 - Sumapaz;6531
